Net generation for all fuels (utility-scale) monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=g&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.ALL-NEW-99.M~ELEC.GEN.ALL-MAT-99.M~ELEC.GEN.ALL-ENC-99.M~ELEC.GEN.ALL-WNC-99.M~ELEC.GEN.ALL-SAT-99.M~ELEC.GEN.ALL-ESC-99.M~ELEC.GEN.ALL-MTN-99.M~ELEC.GEN.ALL-WSC-99.M~ELEC.GEN.ALL-PCN-99.M~ELEC.GEN.ALL-PCC-99.M&columnchart=ELEC.GEN.ALL-NEW-99.M~ELEC.GEN.ALL-MAT-99.M~ELEC.GEN.ALL-ENC-99.M~ELEC.GEN.ALL-WNC-99.M~ELEC.GEN.ALL-SAT-99.M~ELEC.GEN.ALL-ESC-99.M~ELEC.GEN.ALL-MTN-99.M~ELEC.GEN.ALL-WSC-99.M~ELEC.GEN.ALL-PCN-99.M~ELEC.GEN.ALL-PCC-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=200101&end=201702&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
11:15:20 GMT-0400 (EDT)
Data source: U.S. Energy Information Administration
Month,New England : all sectors thousand megawatthours,Middle Atlantic : all sectors thousand megawatthours,East North Central : all sectors thousand megawatthours,West North Central : all sectors thousand megawatthours,South Atlantic : all sectors thousand megawatthours,East South Central : all sectors thousand megawatthours,Mountain : all sectors thousand megawatthours,West South Central : all sectors thousand megawatthours,Pacific Noncontiguous : all sectors thousand megawatthours,Pacific Contiguous : all sectors thousand megawatthours
Sep 2012,10040.36889,34347.46624,46687.87233,26705.10151,63244.57737,30385.2108,32006.63266,58022.25281,1374.15922,31771.92084
Aug 2012,12153.46353,41018.52622,57505.35612,30453.86128,73160.33203,37050.01347,36874.37404,69025.72186,1436.84016,37021.26046
Jul 2012,12412.58179,44015.32593,63212.93007,33864.34085,79299.62573,39422.85628,35724.7535,70309.4905,1359.8322,35019.48063
Jun 2012,10231.51832,36293.75712,53901.72297,28936.97137,66747.88539,33915.97461,32254.62811,64924.88817,1326.01966,32292.01518
May 2012,9566.44212,33937.19121,49289.74839,25665.77391,64937.40093,31191.00693,28455.24598,59624.40132,1394.75912,32454.18608
Apr 2012,8573.98251,30371.91813,44464.16902,23266.31465,53863.22616,26249.22741,25632.41505,51357.40734,1350.65765,30099.88701
Mar 2012,9717.2238,33608.1025,47489.33881,24777.5433,55466.68061,27456.85007,27676.74588,50444.74568,1482.92344,30969.39799
Feb 2012,9632.67811,34060.60084,50115.33519,25405.93478,54834.86342,28631.85489,28359.44563,49143.59839,1403.62853,27801.49275
Jan 2012,10524.17368,37514.29486,54641.11225,27983.8571,60857.08042,31880.10349,30860.52285,53114.62684,1573.36889,30577.33971
Dec 2011,10251.87941,35965.931,52047.73124,28539.36497,58933.20808,31580.59631,31638.58282,52649.64351,1563.48971,32570.03571
Nov 2011,9407.60662,33931.82749,47301.23524,25697.76974,52999.09026,28976.67869,27996.38116,47030.74755,1525.67125,29235.14646
Oct 2011,8923.04862,34498.19787,47922.7485,25882.94822,53917.96317,28671.67899,29292.35759,49682.61788,1482.22308,28424.71967
Sep 2011,10437.09529,35451.3017,49329.70604,25709.8297,64163.55807,30507.70977,32198.40314,58047.88215,1410.32283,30675.5089
Aug 2011,11785.36513,40333.89234,60919.10146,31052.94242,76579.31702,38439.88801,36787.78556,74562.66315,1440.10032,34610.25931
Jul 2011,12567.03449,43551.29264,65180.28064,33043.95044,79741.39879,39265.44522,35931.30833,72802.87326,1426.13967,35183.03115
Jun 2011,10331.75569,36894.79036,54359.21327,28531.956,72577.44583,35331.47173,30494.75307,66120.52568,1371.28354,31713.81985
May 2011,9384.74101,33840.2204,47318.17563,25544.93386,63714.528,29333.59468,27460.97943,55359.37945,1426.48621,30245.19937
Apr 2011,8885.1205,30630.94683,45589.85308,24180.13946,57739.22148,27699.35926,25882.09696,49879.2029,1415.66347,30499.1205
Mar 2011,10230.53219,32950.35278,51909.59068,26921.39454,57311.77652,30644.53396,28358.26182,47381.24584,1545.62547,31456.62711
Feb 2011,9809.45147,33426.50199,49839.17038,27076.45734,55727.78103,30267.18497,27858.94605,48355.90513,1435.14468,29330.06402
Jan 2011,11324.53112,38013.9099,57958.99096,30720.36088,68880.66864,36646.85527,30947.06177,55008.22355,1552.21547,31819.07539
Dec 2010,11265.9416,39075.81746,57505.2911,30176.59817,72704.15705,35912.546,30963.38642,51966.64777,1573.36872,30975.32701
Nov 2010,10381.86589,34334.70701,49477.48584,25741.99896,53826.46486,27301.80276,28394.27035,45911.52802,1454.67572,29184.82976
Oct 2010,10554.49414,32866.13275,49055.5863,24657.82586,55393.80794,27476.7054,28903.00297,47670.36083,1508.08478,29834.68961
Sep 2010,11189.5095,36242.48663,51102.56878,26148.96119,67028.59715,32094.30679,32668.08312,57807.2071,1435.09251,30328.35907
Aug 2010,12623.77993,41554.43569,63631.55461,32352.22962,79531.03409,37592.46182,35738.28264,70310.92667,1496.31055,34053.13976
Jul 2010,13561.28283,43138.58958,63685.7629,31813.12451,81655.65068,37493.4215,36678.24123,65460.96399,1450.16845,34788.23474
Jun 2010,11508.14868,39078.48747,56537.96333,28631.21475,76311.89349,35537.96243,31286.47898,63375.69333,1418.6964,32072.93956
May 2010,9558.29829,33698.1896,50194.08637,26021.45162,65900.56941,29637.52203,28422.18323,54038.03792,1448.98662,29017.16649
Apr 2010,8864.19088,29249.78765,45203.85811,23885.56088,54610.55838,25686.36592,26927.01727,43925.32434,1417.98652,28029.57664
Mar 2010,9706.884,32872.44792,49793.8148,26729.45866,58267.33175,29900.22382,28410.91209,45626.97783,1472.48543,29387.10407
Feb 2010,9572.73745,33836.09456,51203.60236,26426.46425,63493.57967,32778.54886,26872.08918,47775.48538,1342.74758,26433.37741
Jan 2010,10940.59454,36449.27711,58604.81115,30249.99497,73971.01772,35792.18782,30789.94476,53961.7509,1577.00839,28620.57956
Dec 2009,10675.93238,36434.76347,56745.50255,29814.55525,66920.77156,32418.75748,32410.46144,52093.25268,1597.48445,31395.81401
Nov 2009,9154.64002,32163.30612,48443.6678,24932.59674,53805.04875,27362.74973,28877.57343,43125.61713,1552.50838,27216.96192
Oct 2009,8919.73938,32140.398,48125.8218,24866.6764,58571.42798,28355.93247,29269.35797,46623.13961,1564.99512,28602.85194
Sep 2009,9751.37004,32965.3716,49268.57362,25055.62026,62037.56595,30239.66137,31806.4586,52689.20055,1442.69633,32144.09358
Aug 2009,12054.00019,40522.46862,55875.55533,28424.29848,75086.5523,33825.71038,35459.60834,65156.49643,1478.93402,33337.79284
Jul 2009,10818.04912,37953.47117,53141.64097,28222.39049,71302.05368,31762.68159,36243.79882,65418.63265,1484.22457,36195.28252
Jun 2009,9522.93669,34239.79874,51200.81869,27258.62247,69491.89146,32353.35267,30009.4693,61083.57732,1419.82839,31077.94556
May 2009,9088.5894,32401.95847,44855.262,24276.66238,59489.41288,28655.57149,29646.01033,51166.34993,1407.77137,30318.28393
Apr 2009,9479.28253,30733.53338,44346.52027,23304.31976,54170.99278,26370.31334,26018.25259,44557.80612,1399.58675,29156.64762
Mar 2009,10541.25583,34160.99897,48504.17911,25957.9193,56929.43363,28565.36653,29301.54548,45971.6795,1465.92282,29204.66266
Feb 2009,9914.03521,32578.83958,49154.18062,24565.77516,57525.05642,28463.81625,28080.89346,42712.20458,1356.13097,26536.46545
Jan 2009,11746.18587,38163.02416,58124.8052,29098.94419,69369.84063,33930.44172,32178.28866,50088.17741,1542.60911,30750.31928
Dec 2008,11160.60131,36665.6367,57063.84228,28748.21043,63458.64491,32093.24897,32572.60217,49429.66943,1582.34995,31123.44833
Nov 2008,10266.13556,33582.64916,52353.39002,25025.57762,58280.73593,28877.66815,28899.2723,44190.13071,1500.27242,27070.40933
Oct 2008,10373.28562,33822.7785,51388.83981,24790.93622,58842.30155,28988.90208,30983.11307,48839.14854,1556.49577,28961.542
Sep 2008,10722.31963,35423.29184,52860.61106,25508.41443,67942.1139,31417.57783,32843.33301,49405.8875,1467.29033,30465.29049
Aug 2008,11505.46752,38451.39055,60149.38926,29362.24674,76418.31065,35352.00238,36957.14245,64127.04468,1484.44017,35179.28442
Jul 2008,12512.26454,42182.61126,62270.98325,30021.54589,78553.49996,36637.75212,37130.5562,65982.10919,1517.24575,36091.76811
Jun 2008,10832.82185,38923.62779,56807.205,26077.58045,75616.65139,34685.83166,32702.39617,61381.74071,1439.14889,34642.02302
May 2008,9370.59133,31238.2092,50491.06074,23940.80983,64412.71557,29256.294,29126.39189,53719.04536,1485.92506,32203.75896
Apr 2008,9281.91134,30472.59593,49662.81983,23449.454,58225.06037,28420.20752,28294.8562,45790.48012,1457.6994,30809.9465
Mar 2008,10381.67595,33843.20218,54079.20224,25267.05837,62583.10689,30791.96518,29665.52951,47065.32098,1555.57318,29397.21512
Feb 2008,10012.15485,34246.53124,54448.89815,27031.68978,64273.91727,30941.7659,28875.67447,45335.51064,1507.42213,28432.03267
Jan 2008,10675.11442,37495.28957,59290.84177,28476.51219,72178.95837,35139.04319,31636.60994,53354.27078,1597.35638,33154.43245
Dec 2007,11416.97156,36923.08124,56855.39232,28101.91113,67298.6499,31594.69375,30810.30237,49929.60818,1624.53914,31735.18096
Nov 2007,10378.46918,32590.19024,52264.15971,25339.12477,61461.57338,27911.21115,28282.3102,45428.91715,1481.92878,28964.65805
